Logger started
[2026-04-13 21:18:25] sensor=20.2
[2026-04-13 21:18:26] sensor=23.1
[2026-04-13 21:18:27] sensor=33.9
[2026-04-13 21:18:28] sensor=39.6
[2026-04-13 21:18:29] sensor=20.4
[2026-04-13 21:18:30] sensor=33.8
[2026-04-13 21:18:31] sensor=38.0
[2026-04-13 21:18:32] sensor=21.8
[2026-04-13 21:18:33] sensor=22.1
[2026-04-13 21:18:34] sensor=37.0
[2026-04-13 21:18:35] sensor=26.2
[2026-04-13 21:18:36] sensor=21.2
[2026-04-13 21:18:37] sensor=37.9
